frame,timestamp_sec,diff_score
66,5.28,1.0203
67,5.36,1.0211
85,6.8,0.9798
213,17.04,0.4918
242,19.36,0.8645
243,19.44,0.9555
261,20.88,0.9863
424,33.92,0.511
453,36.24,0.6851
466,37.28,1.0906
467,37.36,1.0556
792,63.36,0.6082
813,65.04,0.8707
940,75.2,0.803
964,77.12,1.0472
965,77.2,0.9501
1035,82.8,1.0326
1112,88.96,0.5286
1113,89.04,0.8425
1129,90.32,0.5915
1355,108.4,0.9948
1414,113.12,1.1178
1425,114.0,0.5295
1437,114.96,0.6355
1486,118.88,0.987
1518,121.44,0.7713
1547,123.76,0.8838
1548,123.84,0.9554
1566,125.28,1.1226
1747,139.76,1.0485
1748,139.84,0.4841
1769,141.52,1.0719
1891,151.28,0.7262
1934,154.72,0.8435
1935,154.8,1.0637
2065,165.2,0.4956
2066,165.28,1.0587
2149,171.92,0.9134
2183,174.64,1.0991
2220,177.6,0.4819
2589,207.12,0.7088
2612,208.96,0.4589
